surface,tab,group,label,stable_command_id,aliases,visible,implementation_status,availability_reason,required_document_or_selection,controller,engine_operation,input_dialog_or_preset,output_or_state_change,undo_contract,dependency,source_location,test_or_repro,implementation_commit,review_status,evidence_path
ribbon,Home,Selection,Select,select,,true,implemented+available,Always visible; active tool with a document or on welcome canvas,None,EditController,viewer tool mode,None (mode select),ToolMode::SelectText active; text selection enabled,None (view state),None,src/shell/controllers/EditController.cpp:101-124; src/core/PdfEnums.h:5-6,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Home,Selection,Hand,hand,,true,implemented+available,Always,None,EditController,viewer tool mode,None,ToolMode::HandTool active,None (view state),None,src/shell/controllers/EditController.cpp:102,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Home,Selection,Snapshot,snapshot,,false,planned-unimplemented,"No snapshot ToolId/ToolMode/controller traced. Nearest partial: EditController copySelectionToClipboard rasterizes a SELECTED object to clipboard (EditController.cpp:1087-1109). A region-snapshot tool itself: no implementation found after tracing ToolId.cpp/.h, controllers, PdfEnums.h ToolMode",Open a PDF + (for the partial) a selected object,None,None,Region marquee (unspecified),Screenshot of region to clipboard (target behavior),None,None,src/shell/RibbonModel.cpp:13; src/core/ToolId.cpp (absent); src/shell/controllers/EditController.cpp:1087-1109,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Home,Find,Find,search,"find (alias, ToolId.cpp:187); menu find/find-replace",true,implemented+available,Always (works on welcome too via menu Ctrl+F),None,EditController; MenuBar local,QPdfSearchModel page-text scan (PDFium),"FindBar (text, match-case, whole-words, regex, scope)",FindBar toggled visible; match navigation; page-level jump when options set,None (view state),None,"src/shell/controllers/EditController.cpp:127-128,237-369; src/shell/MenuBar.cpp:291-292",Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Home,Find,Find & Replace,search,search; find; find-replace (menu),false,obsolete-alias-duplicate,"Duplicate: menu Edit>Find & Replace (Ctrl+H, MenuBar.cpp:292) and FindBar (replaceInput + replaceRequested/replaceAllRequested) already implement it; FindBar opens from visible ribbon 'search'. Canonical: search",Open a PDF (replace mutates),MenuBar local toggleFindBar; EditController,IPageEditor::editTextInline (EditTextInlineCommand),FindBar search+replace fields,Match replaced on page; Replace All rewrites file (checked save R2-2 D3),Undoable (EditTextInlineCommand); Replace All save is checked,None,"src/shell/MenuBar.cpp:52,292,188-193; src/ui/FindBar.h:32-59; src/shell/controllers/EditController.cpp:371-466",Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Home,Find,Regex,search,search (regex option),false,obsolete-alias-duplicate,Not a separate command: regex is a FindBar checkbox (FindBar.h regexCheckBox) consumed by EditController::onSearchRequested(useRegex) with page-level navigation disclosure. Canonical: search,Open a PDF,EditController via FindBar,QPdfSearchModel + QRegularExpression page scan,FindBar regex option,"Page-level jump (inline highlight unavailable, disclosed)",None (view),None,src/ui/FindBar.h:59; src/shell/controllers/EditController.cpp:214-292,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Home,History,Undo,undo,,true,implemented+available,Enabled when undo stack has undoable command,None,HomeController,QUndoStack::undo,None,Last command reversed,IS the undo,None,src/shell/controllers/HomeController.cpp:109-111,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Home,History,Redo,redo,,true,implemented+available,Enabled when stack has redoable command,None,HomeController,QUndoStack::redo,None,Last undone command reapplied,Inverse of undo,None,src/shell/controllers/HomeController.cpp:112-113,Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
ribbon,Home,History,History,history,,false,planned-unimplemented,"no implementation found after tracing ToolId.cpp/.h (no History tool), controllers, panels. Nearest implemented: page back/forward history in PdfViewerWidget (m_pageHistory, goBack/goForward, Alt+Left/Right shortcuts GpMainWindow.cpp:405-414) and visible Undo/Redo buttons",None,None,None (back/forward state exists in viewer),History dropdown/panel (unspecified),Visited-pages list (target behavior),None,None,src/shell/RibbonModel.cpp:13; src/core/ToolId.cpp (absent); src/ui/PdfViewerWidget.cpp:730-740; src/GpMainWindow.cpp:405-414,Trace record: traced via ribbon-command-baseline.csv; see docs/audit/FEATURE-COMMAND-MATRIX-NOTES-2026-09-09.md,,traced-2026-09-09,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/outputs/UI-BUTTON-REVIEW-2026-09-09.md (UI01)
ribbon,Home,Share,Share,share,,true,implemented+available,Open a PDF,Open a PDF,HomeController,MAPI mapi32.dll; 7z.exe AES-256 zip (external),Choice dialog: email attachment / encrypted package; password prompt for package,Mail compose window or .zip package written; no document change,None (no document change),mapi32.dll (email); 7-Zip 7z.exe (package),"src/shell/controllers/HomeController.cpp:97-98,294-452",Probe record in ribbon-command-baseline.csv (buttonEnabled/actionEnabled/hasController); re-test per UI02 acceptance,,reviewed-2026-09-09-inventory,C:/Users/User/Documents/Codex/2026-09-05/read-c-users-user-projects-pdf/work/ui-prompt-2026-09-09/command-inventory.json
