operation,time,ref_or_path,former_sha,worktree,pre_deletion_evidence,committed_history_disposition,local_file_disposition,recovery_source_and_hash,recovery_commit_or_ref,verification,remaining_uncertainty
local branch deletion (git branch -D or -d; command not surviving),"2026-09-09 (attested); proven window 2026-09-09 16:08 +0300 .. 2026-09-13 10:51 +0300",refs/heads/temp/stage-push,"not recorded in any surviving artifact; reconstructed tip d367aca1b02f166f198e74f3c769974f5bbd7120 (12-commit chain) + superseded first attempt 7e3ccc0..8e55018 (3 commits)","C:/Users/User/Projects/pdf-stage (removed)",NONE — branch+reflog removed before any inventory; no 09-09-era snapshot covers it. Object evidence only (fsck).,"proven-safe: 10/12 chain commits patch-id-identical to reachable feat/parity-glm commits (3b3ec1d bc14f3c e006a52 f96efe7 48a9552 955d61d 269a73c 3166dc7 a5840dc f443f59); remaining 2 are workflow-hunk-parked variants whose parked hunks exist in reachable 9024124/699a89a/b2d9906 (diff vs parked commits touches only .github/workflows/*.yml); superseded 3-commit attempt also patch-id-identical (9024124 699a89a b2d9906)","unknown for any dirty/untracked files at removal — no pre-deletion manifest (deletion predates 2026-09-13 preservation protocol; uncommitted-state-backup.zip sealed 2026-09-13 11:01 cannot cover it)","local object store only (unreachable; in NO bundle — all bundles sealed 2026-09-13 after deletion and carry ref-reachable history only); fsck --unreachable read-only pass 2026-09-13","recovery ref NOT created (lane is read-only): recommended 'git branch recovery/temp-stage-push-20260909 d367aca' — d367aca tree sha available on request","git fsck + patch-id (git patch-id --stable) + git diff path-scope checks; chain committer identity Elie Tanios <elietecovery@gmail.com>; committer timestamp 2026-09-09 16:08 +0300 for all 15 objects","branch name itself is orchestrator-attested only (no git artifact carries the literal name 'temp/stage-push'); d367aca proven the chain tip but not provably the branch's final tip at deletion; deletion exact time/operator command not surviving"
remote branch deletion on origin (authorized per orchestrator; pushes otherwise additive — 125/125 remote-tracking updates fast-forward),"2026-09-09..2026-09-13 (bounded: after 2026-09-09 16:08 push-prep, before 2026-09-13 10:51 inventory which already lacks it); exact time unknown",origin:refs/heads/feat/parity-glm-stage,"never recorded locally — no remote-tracking reflog ever existed (branch was pushed, never fetched)",C:/Users/User/Projects/pdf-stage,"NONE local; remote-side (GitHub) event log not queried — would resolve SHA+time if accessible","proven-safe by reconstruction+object evidence: staging content = cherry-pick chain above, 100% accounted on feat/parity-glm; current origin has 19 branches, none named *stage* (git ls-remote live 2026-09-13)","n/a (remote ref)","none (no local copy of remote tip)","n/a — recoverable only from GitHub audit log / remote push records","git ls-remote origin (19 heads; no stage branch); fast-forward audit of refs/remotes/origin/feat/parity-glm (125 updates, 0 non-FF)","exact former remote tip SHA and deletion timestamp unknown; authorization record is orchestrator attestation"
worktree directory removal (git worktree remove or equivalent; metadata dir gone from .git/worktrees),"2026-09-09 (attested); bounded 2026-09-09 16:08 .. 2026-09-13 10:51",C:/Users/User/Projects/pdf-stage (directory no longer exists),"n/a","C:/Users/User/Projects/pdf-stage","NONE — no pre-deletion status/untracked manifest survives; not present in any 2026-09-13 inventory","tracked content = staging chain above (proven-safe)","unknown — any untracked/ignored files in the worktree at removal have no surviving copy unless duplicated elsewhere; Git holds no copy (handoff §4.6)","none","none","directory absent; .git/worktrees listing (16+main=17) matches closure count exactly","untracked/ignored files possibly present at deletion: unknown—insufficient pre-deletion evidence. Would be resolved by: orchestrator session transcript of the removal command, Recycle Bin, or editor backups"
local branch deletion (git branch -d; command not surviving),"2026-09-09 (attested); proven window 2026-09-07 00:26 .. 2026-09-13 10:51",refs/heads/feat/sig-p1,22a7b66746e6ca02f0a10461ef7203042eb5709a (proven: 2nd parent of merge c2e127b),"C:/Users/User/Projects/pdf-sig (removed)","STRONG: merge commit c2e127b6df38678c08836f93a67e1967323269da 'merge: feat/sig-p1 (§9.7 P1 trio)' 2026-09-07 00:26:16 +0300 by Elie Tanios; work/sep7-log.txt lines 9-19 enumerate the trio","proven-safe: be47cce (initials variant) 706a60c (session signature cache) 22a7b66 (SignOutcome surfacing) — 'git merge-base --is-ancestor 22a7b66 feat/parity-glm' YES; branch --all --contains lists feat/parity-glm + 31 other refs","tracked content preserved via merge (predates deletion)","objects reachable via feat/parity-glm and sealed in glyph-pdf-closure.bundle (all-refs verify OK)","feat/parity-glm (via c2e127b); archive refs; bundles","ancestry verified live 2026-09-13","exact deletion time/operator command not surviving (reflog removed with branch); window is 3.5+ days wide"
worktree directory removal,"2026-09-09 (attested); bounded 2026-09-07 00:25 .. 2026-09-13 10:51",C:/Users/User/Projects/pdf-sig (directory no longer exists),"n/a","C:/Users/User/Projects/pdf-sig","PARTIAL: C:/Users/User/Projects/pdf-sig-cmake.txt (139877 bytes, mtime 2026-09-07 00:25) is a physical trace the worktree existed and ran CMake during the sig-p1 session","committed work merged before deletion (c2e127b)","unknown — dirty/untracked state at removal unrecorded (no preservation protocol yet in 09-09)","none for untracked files","none","directory absent; scratch log corroborates prior existence","untracked/ignored files possibly present at deletion: unknown—insufficient pre-deletion evidence (same resolution routes as pdf-stage)"
untracked build-directory removals (NOT gitignored — correction to baseline: only 'build/' pattern is ignored; these appeared as '?? build-*/' untracked),"2026-09-05..2026-09-13 (various; not precisely dated)",C:/Users/User/Projects/pdf/build-rp1 build-u08 build-wt build-rel build-ocr*,"n/a (never git objects)",C:/Users/User/Projects/pdf,"gate-2026-09-09/status.txt shows '?? build-rel/' '?? build-wt/' pre-dating removal (that copy later removed too)","n/a — regenerable CMake outputs; never git state","proven-safe as build artifacts: regenerated by cmake configure/build; vendor deps re-fetchable via scripts/bootstrap (Q02 'reproducible three-vendor-tree bootstrap' e006a52)","regenerable","regenerable","patterns consistent with CMake build trees; .gitignore:2 covers 'build/' only","residual: any non-regenerable byproducts inside those dirs (local logs/caches/fixtures) were not inventoried pre-deletion — minor unknown"
untracked build-directory removals,2026-09-05..2026-09-13,C:/Users/User/Projects/pdf-inst/build-rel build-review build-formjs,"n/a (never git objects)",C:/Users/User/Projects/pdf-inst,see row above,n/a — regenerable,proven-safe (regenerable),regenerable,regenerable,consistent with CMake build trees,same residual as pdf-main build dirs
untracked build-directory removals,2026-09-05..2026-09-13,C:/Users/User/Projects/pdf-sec/build-sec,"n/a (never git objects)",C:/Users/User/Projects/pdf-sec,see row above,n/a — regenerable,proven-safe (regenerable),regenerable,regenerable,consistent with CMake build tree,same residual
untracked build-directory removals,2026-09-05..2026-09-13,C:/Users/User/Projects/pdf-r15/build-r15,"n/a (never git objects)",C:/Users/User/Projects/pdf-r15,see row above,n/a — regenerable,proven-safe (regenerable),regenerable,regenerable,consistent with CMake build tree,same residual
untracked build-directory removals,2026-09-05..2026-09-13,C:/Users/User/Projects/pdf-parity/build-wt build-rel,"n/a (never git objects)",C:/Users/User/Projects/pdf-parity,see row above,n/a — regenerable,proven-safe (regenerable),regenerable,regenerable,consistent with CMake build trees,same residual
